"","fire_year","fire_size","latitude","longitude"
"437",2008,43,34.69083333,-93.225
"438",2008,1,29.00111111,-81.72416667
"439",2008,28,29.12194444,-81.64472222
"440",2008,0.1,34.69527778,-93.29472222
"441",2008,51,35.39777778,-83.67805556
"442",2008,0.2,44.29277778,-85.05138889
"443",2008,0.1,43.93666667,-103.45916667
"444",2008,0.3,41.37333333,-88.13055556
"445",2008,8,36.11,-121.62527778
"446",2008,0.07,34.03194444,-82.28944444
"447",2008,3,46.99333333,-114.44777778
"448",2008,0.1,36.96583333,-84.12777778
"449",2008,20,33.17861111,-79.81972222
"450",2008,7.3,33.00583333,-79.74166667
"451",2008,0.1,46.6975,-111.71444444
"452",2008,1.5,34.46361111,-110.50805556
"453",2008,0.1,36.78944444,-112.26277778
"454",2008,0.2,34.37333333,-110.5675
"455",2008,0.1,34.11416667,-109.85694444
"456",2008,0.9,43.9625,-85.84555556
"457",2008,0.01,33.67,-111.48527778
"458",2008,0.01,33.90583333,-111.44972222
"459",2008,0.1,40.90805556,-122.38333333
"460",2008,0.01,33.62722222,-111.55833333
"461",2008,0.01,33.68277778,-111.53111111
"462",2008,0.1,34.31972222,-111.40888889
"463",2008,0.1,34.40722222,-111.485
"464",2008,0.1,34.36583333,-111.43111111
"465",2008,2,35.26583333,-82.84694444
"466",2008,47,35.23,-82.9125
"467",2008,12.55,47.35555556,-94.30527778
"468",2008,9.6,34.90527778,-83.83805556
"469",2008,0.1,34.69388889,-83.41083333
"470",2008,0.1,43.44888889,-115.28555556
"471",2008,0.5,33.295,-110.86861111
"472",2008,0.1,39.95027778,-120.83916667
"473",2008,67,36.155,-82.53277778
"474",2008,5,36.1425,-82.51638889
"475",2008,1.5,34.5425,-119.66722222
"476",2008,0.1,34.80666667,-119.11305556
"477",2008,15,36.2025,-81.99555556
"478",2008,10,36.40888889,-82.23166667
"479",2008,255,36.46111111,-82.16027778
"480",2008,0.25,35.675,-118.46638889
"481",2008,10,36.27777778,-82.1875
"482",2008,250,36.46527778,-82.80861111
"483",2008,0.7,35.70111111,-118.44611111
"484",2008,0.25,35.69333333,-118.00972222
"485",2008,0.1,33.76388889,-116.75555556
"486",2008,1,43.81833333,-85.7625
"487",2008,1,40.19138889,-120.39972222
"488",2008,1,47.52861111,-115.02972222
"489",2008,5,36.20277778,-82.275
"490",2008,8,36.54138889,-82.02472222
"491",2008,161,36.42166667,-82.88138889
"492",2008,0.05,35.9275,-82.95194444
"493",2008,1,36.08,-82.71277778
"494",2008,0.1,35.82638889,-83.15305556
"495",2008,1500,36.26583333,-82.36194444
"496",2008,0.1,36.31194444,-115.60694444
"497",2008,2.5,45.26472222,-116.35138889
"498",2008,640,32.74333333,-105.62361111
"499",2008,0.1,35.71388889,-118.43861111
"500",2008,0.5,33.58277778,-108.90638889
"501",2008,9,35.63777778,-118.4725
"502",2008,128,35.15194444,-84.11722222
"503",2008,0.1,35.21694444,-84.03333333
"504",2008,22,35.33083333,-83.04055556
"505",2008,10,35.01805556,-83.61722222
"506",2008,0.25,35.08638889,-83.16583333
"507",2008,0.5,35.08111111,-83.76027778
"508",2008,25,35.32777778,-83.53472222
"509",2008,2,35.08333333,-83.65194444
"510",2008,4,35.18527778,-83.29361111
"511",2008,15,35.15027778,-84.14861111
"512",2008,2,35.03166667,-83.62166667
"513",2008,6.5,35.05583333,-84.17333333
"514",2008,5,35.07388889,-83.8
"515",2008,12,35.20611111,-83.30777778
"516",2008,55,35.44527778,-83.50555556
"517",2008,0.1,36.39277778,-106.23916667
"518",2008,0.1,47.25472222,-94.22083333
"519",2008,0.1,47.01583333,-94.06138889
"520",2008,0.1,47.05222222,-94.47638889
"521",2008,3,35.19333333,-83.25027778
"522",2008,0.1,32.70638889,-109.96611111
"523",2008,0.1,34.05083333,-109.43583333
"524",2008,7,46.50638889,-112.13972222
"525",2008,0.1,34.04611111,-109.43666667
"526",2008,1.4,34.05666667,-109.33305556
"527",2008,0.5,44.23055556,-86.04055556
"528",2008,0.1,41.25027778,-122.10027778
"529",2008,0.1,33.99833333,-109.45555556
"530",2008,0.34,40.65666667,-105.32916667
"531",2008,4.5,34.04833333,-109.48916667
"532",2008,0.1,32.57861111,-109.71083333
"533",2008,0.1,40.665,-121.45638889
"534",2008,0.3,43.65111111,-85.65194444
"535",2008,1.5,33.32194444,-105.52055556
"536",2008,0.3,32.88833333,-105.47972222
"537",2008,1,33.81111111,-109.01638889
"538",2008,0.25,43.46166667,-85.79138889
"539",2008,5,34.73916667,-76.88222222
"540",2008,0.1,43.63527778,-85.77083333
"541",2008,23.5,34.87333333,-93.91
"542",2008,0.1,44.43027778,-121.65694444
"543",2008,1,44.21694444,-85.81527778
"544",2008,1,38.28944444,-120.34638889
"545",2008,4,38.94222222,-86.11722222
"546",2008,0.25,43.80694444,-85.84027778
"547",2008,0.1,43.65694444,-85.80388889
"548",2008,1.5,43.76611111,-118.92972222
"549",2008,0.1,33.30972222,-79.94444444
"550",2008,0.6,40.34527778,-123.43638889
"551",2008,153,33.36555556,-79.87416667
"552",2008,17.35,33.23277778,-79.66055556
"553",2008,0.01,47.89638889,-91.91444444
"554",2008,0.05,39.35277778,-105.07777778
"555",2008,0.1,39.11472222,-120.76777778
"556",2008,3,47.13305556,-93.95388889
"557",2008,0.2,42.2875,-121.20111111
"558",2008,0.1,47.94972222,-91.92388889
"559",2008,0.1,37.93166667,-79.97194444
"560",2008,0.1,47.01138889,-94.66166667
"561",2008,2.3,47.30333333,-93.91194444
"562",2008,0.04,33.61694444,-108.40361111
"563",2008,0.1,47.11444444,-94.48305556
"564",2008,1,34.42583333,-118.42138889
"565",2008,0.25,38.16166667,-120.24277778
"566",2008,0.1,34.5525,-118.66805556
"567",2008,0.5,43.81888889,-85.76861111
"568",2008,2,44.05027778,-86.13888889
"569",2008,2,43.40388889,-85.75166667
"570",2008,0.1,34.57361111,-118.69027778
"571",2008,0.25,34.77111111,-118.76333333
"572",2008,0.01,41.26805556,-122.31666667
"573",2008,0.01,41.33611111,-122.32277778
"574",2008,0.3,43.81583333,-85.96111111
"575",2008,0.5,35.75027778,-82.05194444
"576",2008,59,35.80388889,-82.00305556
"577",2008,0.25,35.82444444,-82.07638889
"578",2008,20,35.65972222,-82.25638889
"579",2008,45,35.87083333,-82.0075
"580",2008,2005,35.87111111,-81.92972222
"581",2008,0.25,41.69027778,-79.0675
"582",2008,16.3,41.83166667,-78.80638889
"583",2008,22,34.03333333,-108.38361111
"584",2008,0.01,48.08444444,-90.77527778
"585",2008,1,36.16194444,-106.91694444
"586",2008,0.1,39.93722222,-120.2925
"587",2008,0.1,34.38,-118.46277778
"588",2008,0.1,40.88333333,-123.11833333
"589",2008,0.1,34.52083333,-118.24222222
"590",2008,3,43.52111111,-85.73861111
"591",2008,0.1,47.05194444,-94.38666667
"592",2008,21,37.63111111,-83.76111111
"593",2008,5,41.70388889,-79.15833333
"594",2008,0.25,32.96527778,-105.72027778
"595",2008,0.1,47.11111111,-93.92527778
"596",2008,0.5,41.45722222,-79.14944444
"597",2008,0.25,41.59611111,-79.20555556
"598",2008,0.25,41.45805556,-79.12222222
"599",2008,0.25,41.79416667,-79.10305556
"600",2008,2,41.55166667,-78.86305556
"601",2008,0.01,44.26944444,-121.62472222
"602",2008,1,34.39722222,-117.80888889
"603",2008,0.01,43.41666667,-85.78333333
"604",2008,0.5,43.46277778,-85.5725
"605",2008,1.8,43.52361111,-85.85472222
"606",2008,0.5,43.54194444,-85.57833333
"607",2008,1,44.13944444,-85.84916667
"608",2008,0.4,43.75888889,-85.82333333
"609",2008,1.8,40.82777778,-122.24972222
